排名,代码,名称,最新价,成交额(亿元)
1,US.MU,美光科技,1079.57,430.14
2,US.MRVL,迈威尔科技,301.65,355.54
3,US.NVDA,英伟达,214.75,348.2
4,US.AVGO,博通,479.23,236.54
5,US.SNDK,闪迪,1831.5,212.94
6,US.GOOGL,谷歌-A,358.99,199.92
7,US.TSLA,特斯拉,423.7,189.08
8,US.MSFT,微软,427.34,167.46
9,US.AAPL,苹果,310.26,158.37
10,US.AMD,美国超微公司,542.52,157.86
11,US.GOOG,谷歌-C,355.68,153.57
12,US.META,Meta Platforms,622.98,142.24
13,US.INTC,英特尔,112.71,134.91
14,US.AMZN,亚马逊,250.02,128.86
15,US.LITE,Lumentum,938.0,59.77
16,US.DELL,戴尔科技,421.08,59.63
17,US.PLTR,Palantir,142.2,59.2
18,US.ORCL,甲骨文,230.33,54.71
19,US.QCOM,高通,250.01,48.45
20,US.ARM,Arm Holdings,411.83,47.47
21,US.WDC,西部数据,594.11,46.42
22,US.TSM,台积电,436.69,45.1
23,US.AMAT,应用材料,500.77,44.77
24,US.IBM,IBM Corp,305.63,42.87
25,US.PANW,Palo Alto Networks,280.43,41.35
26,US.NOW,ServiceNow,117.9,41.35
27,US.IREN,IREN Ltd,65.48,39.96
28,US.CRWD,CrowdStrike,747.61,38.49
29,US.WMT,沃尔玛,116.89,38.29
30,US.CSCO,思科,126.5,38.12
31,US.NVTS,纳微半导体,30.84,35.42
32,US.ASML,阿斯麦,1726.36,31.46
33,US.BRK.B,伯克希尔-B,475.37,31.31
34,US.HPE,慧与科技,55.15,31.19
35,US.NFLX,奈飞,81.52,30.01
36,US.CRWV,CoreWeave,110.93,29.86
37,US.LRCX,泛林集团,343.71,29.5
38,US.NBIS,NEBIUS,251.68,29.22
39,US.LLY,礼来,1078.78,28.71
40,US.V,Visa,312.4,28.09
41,US.SNOW,Snowflake,241.28,27.99
42,US.MSTR,Strategy,126.545,27.69
43,US.STX,希捷科技,940.69,27.34
44,US.CRM,赛富时,190.61,27.14
45,US.GS,高盛,1041.02,26.73
46,US.UNH,联合健康,377.0,25.98
47,US.NOK,诺基亚,16.73,25.22
48,US.RKLB,Rocket Lab,114.7,25.13
49,US.BAC,美国银行,52.4,25.09
50,US.ADI,亚德诺,437.67,24.81
51,US.GLW,康宁,200.76,24.78
52,US.MA,万事达,471.55,24.6
53,US.SMCI,超微电脑,47.42,24.07
54,US.CAT,卡特彼勒,926.18,23.27
55,US.BE,Bloom Energy,287.32,22.8
56,US.COHR,Coherent,417.43,22.69
57,US.DDOG,Datadog,250.33,22.12
58,US.XOM,埃克森美孚,152.53,22.01
59,US.KLAC,科磊,2125.11,21.51
60,US.IONQ,IonQ Inc,68.23,21.42
61,US.JPM,摩根大通,300.85,21.02
62,US.COST,好市多,961.83,20.92
63,US.TXN,德州仪器,308.59,20.75
64,US.CRDO,Credo Technology,214.6,20.66
65,US.GEV,GE Vernova,959.36,20.16
66,US.HOOD,Robinhood,82.85,20.16
67,US.RGTI,Rigetti Computing,24.095,19.79
68,US.APP,Applovin,570.83,19.78
69,US.ASTS,AST SpaceMobile,107.73,19.48
70,US.BA,波音,210.58,19.31
71,US.ALAB,Astera Labs,363.54,19.06
72,US.AAOI,Applied Optoelectronics,184.07,18.82
73,US.INTU,财捷,311.44,17.87
74,US.CIEN,Ciena,620.37,16.58
75,US.COIN,Coinbase,163.22,15.85
76,US.MDT,美敦力,77.95,15.72
77,US.CRCL,Circle,90.13,15.3
78,US.OKLO,Oklo Inc,65.21,15.17
79,US.CVX,雪佛龙,189.71,15.16
80,US.JNJ,强生,223.24,14.55
81,US.C,花旗集团,129.93,14.48
82,US.HON,霍尼韦尔,223.26,14.06
83,US.ANET,Arista Networks,174.37,14.06
84,US.MCD,麦当劳,273.29,13.76
85,US.HD,家得宝,312.97,13.51
86,US.ON,安森美半导体,133.93,13.44
87,US.TER,泰瑞达,409.67,13.28
88,US.PG,宝洁,140.19,13.18
89,US.VRT,Vertiv Holdings,331.44,13.16
90,US.GE,GE航天航空,314.64,13.02
91,US.VZ,Verizon,46.65,12.99
92,US.CME,芝加哥商品交易所,252.64,12.91
93,US.APH,安费诺,147.62,12.73
94,US.NU,Nu Holdings,11.64,12.72
95,US.MS,摩根士丹利,210.14,12.56
96,US.ADBE,Adobe,256.24,12.47
97,US.SOFI,SoFi Technologies,16.68,12.43
98,US.UBER,优步,71.69,12.36
99,US.ABBV,艾伯维公司,217.13,12.34
100,US.TMUS,T-Mobile US,181.45,12.32
101,US.T,AT&T,23.55,12.3
102,US.STM,意法半导体,79.71,12.23
103,US.AZO,汽车地带,3061.65,12.04
104,US.WFC,富国银行,78.68,11.95
105,US.AXP,美国运通,300.57,11.93
106,US.QBTS,D-Wave Quantum,27.55,11.9
107,US.KO,可口可乐,78.76,11.78
108,US.BSX,波士顿科学,47.69,11.76
109,US.CEG,Constellation Energy,267.24,11.7
110,US.CDNS,铿腾电子,408.0,11.69
111,US.FTNT,飞塔信息,146.48,11.69
112,US.LIN,林德气体,507.57,11.6
113,US.BKNG,Booking Holdings,164.78,11.55
114,US.ULTA,Ulta美容,471.21,11.53
115,US.ONDS,Ondas,11.61,11.43
116,US.BABA,阿里巴巴,127.21,11.03
117,US.WELL,Welltower,199.59,10.93
118,US.FLEX,伟创力,161.94,10.85
119,US.DE,迪尔股份,588.29,10.82
120,US.PH,派克汉尼汾,850.76,10.75
121,US.ISRG,直觉外科公司,407.29,10.7
122,US.ZS,Zscaler,134.37,10.48
123,US.CLS,天弘科技,458.14,10.39
124,US.NET,Cloudflare,265.33,10.33
125,US.CMCSA,康卡斯特,23.52,10.32
126,US.AMT,美国电塔,182.24,10.25
127,US.CIFR,Cipher Digital,26.24,10.18
128,US.NEE,新纪元能源,84.58,10.12
129,US.MCHP,微芯科技,96.55,10.07
130,US.STRL,Sterling Infrastructure,957.03,9.93
131,US.SCHW,嘉信理财,86.59,9.84
132,US.SPOT,Spotify Technology,487.54,9.83
133,US.FCX,麦克莫兰铜金,70.64,9.79
134,US.AAL,美国航空,13.57,9.77
135,US.FIX,美国舒适系统,1850.04,9.73
136,US.MRK,默沙东,114.7,9.48
137,US.F,福特汽车,15.71,9.36
138,US.RIVN,Rivian Automotive,18.27,9.33
139,US.BB,黑莓,10.18,9.29
140,US.TJX,TJX公司,157.9,9.23
141,US.PDD,拼多多,85.4,9.2
142,US.ETN,伊顿,421.21,9.19
