code,market,,code,,,code
US.MAR,,,US.UBER,,,US.MAR
US.MCD,,,US.SHOP,,,US.MCD
US.MCO,,,US.PLD,,,US.MCO
US.MELI,,,US.CRM,,,US.MELI
US.META,,,US.HON,,,US.META
US.MLM,,,US.CB,,,US.MLM
US.MMM,,,US.CVS,,,US.MMM
US.MO,,,US.DHR,,,US.MO
US.MP,,,US.LMT,,,US.MP
US.MPWR,,,US.BKNG,,,US.MPWR
US.MRAM,,,US.SPGI,,,US.MRAM
US.MRNA,,,US.MO,,,US.MRNA
US.MRVL,,,US.LOW,,,US.MRVL
US.MS,,,US.PGR,,,US.MS
US.MSFT,,,US.SYK,,,US.MSFT
US.MSTR,,,US.BMY,,,US.MSTR
US.MU,,,US.SBUX,,,US.MU
US.MXL,,,US.PDD,,,US.MXL
US.NBIS,,,US.VRTX,,,US.NBIS
US.NDAQ,,,US.VRT,,,US.NDAQ
US.NET,,,US.PH,,,US.NET
US.NFLX,,,US.COF,,,US.NFLX
US.NKE,,,US.SO,,,US.NKE
US.NOK,,,US.NOW,,,US.NOK
US.NOW,,,US.FTNT,,,US.NOW
US.NRG,,,US.CDNS,,,US.NRG
US.NUE,,,US.HWM,,,US.NUE
US.NVDA,,,US.ACN,,,US.NVDA
US.NVO,,,US.MDT,,,US.NVO
US.NVTS,,,US.EQIX,,,US.NVTS
US.NXPI,,,US.MAR,,,US.NXPI
US.ODFL,,,US.NEM,,,US.ODFL
US.OKLO,,,US.PWR,,,US.OKLO
US.ON,,,US.TT,,,US.ON
US.ONDS,,,US.DUK,,,US.ONDS
US.ORCL,,,US.BNY,,,US.ORCL
US.PANW,,,US.GD,,,US.PANW
US.PCAR,,,US.CME,,,US.PCAR
US.PH,,,US.MCK,,,US.PH
US.PL,,,US.PNC,,,US.PL
US.PLTR,,,US.FCX,,,US.PLTR
US.PNC,,,US.ADP,,,US.PNC
US.POET,,,US.BX,,,US.POET
US.PRU,,,US.ADBE,,,US.PRU
US.PSX,,,US.UPS,,,US.PSX
US.PWR,,,US.MNST,,,US.PWR
US.PYPL,,,US.WM,,,US.PYPL
US.Q,,,US.WMB,,,US.Q
US.QCOM,,,US.CMI,,,US.QCOM
US.QQQ,,,US.USB,,,US.QQQ
US.RCL,,,US.AMT,,,US.RCL
US.RJF,,,US.CEG,,,US.RJF
US.RKLB,,,US.ELV,,,US.RKLB
US.ROK,,,US.CSX,,,US.ROK
US.SATS,,,US.SNPS,,,US.SATS
US.SBUX,,,US.CMCSA,,,US.SBUX
US.SHOP,,,US.JCI,,,US.SHOP
US.SLB,,,US.HCA,,,US.SLB
US.SMCI,,,US.KKR,,,US.SMCI
US.SMH,,,US.SLB,,,US.SMH
US.SMR,,,US.DDOG,,,US.SMR
US.SNDK,,,US.MDLZ,,,US.SNDK
US.SNPS,,,US.MMM,,,US.SNPS
US.SOFI,,,US.MRSH,,,US.SOFI
US.SOUN,,,US.MELI,,,US.SOUN
US.SOXL,,,US.HOOD,,,US.SOXL
US.SPY,,,US.NOC,,,US.SPY
US.STLD,,,US.ICE,,,US.STLD
US.STT,,,US.FDX,,,US.STT
US.STX,,,US.CI,,,US.STX
US.SYF,,,US.MPC,,,US.SYF
US.TDG,,,US.VLO,,,US.TDG
US.TDY,,,US.EMR,,,US.TDY
US.TEL,,,US.MCO,,,US.TEL
US.TER,,,US.HLT,,,US.TER
US.TGT,,,US.ROST,,,US.TGT
US.TMO,,,US.INTU,,,US.TMO
US.TPL,,,US.ABNB,,,US.TPL
US.TPR,,,US.SHW,,,US.TPR
US.TQQQ,,,US.APO,,,US.TQQQ
