排名,代码,名称,最新价,成交额(亿元)
1,US.MU,美光科技,949.28,509.32
2,US.NVDA,英伟达,208.64,288.3
3,US.MRVL,迈威尔科技,288.85,248.15
4,US.AAPL,苹果,301.54,239.8
5,US.TSLA,特斯拉,408.95,204.1
6,US.INTC,英特尔,110.27,150.61
7,US.AVGO,博通,396.6,147.08
8,US.SNDK,闪迪,1642.0,134.32
9,US.MSFT,微软,411.74,132.17
10,US.AMD,美国超微公司,490.33,122.81
11,US.META,Meta Platforms,585.39,114.49
12,US.GOOGL,谷歌-A,363.31,101.5
13,US.AMZN,亚马逊,245.22,83.35
14,US.GOOG,谷歌-C,361.17,67.59
15,US.LLY,礼来,1149.15,52.22
16,US.TSM,台积电,426.8,48.15
17,US.AMAT,应用材料,492.17,47.6
18,US.LITE,Lumentum,895.4,45.34
19,US.QCOM,高通,217.77,37.58
20,US.LRCX,泛林集团,324.45,37.18
21,US.PLTR,Palantir,136.47,36.81
22,US.ORCL,甲骨文,211.82,36.67
23,US.ASML,阿斯麦,1749.04,35.95
24,US.DELL,戴尔科技,400.77,34.11
25,US.WDC,西部数据,526.93,32.83
26,US.ARM,Arm Holdings,346.39,31.73
27,US.NBIS,NEBIUS,218.0,31.68
28,US.CSCO,思科,124.15,30.29
29,US.AAOI,Applied Optoelectronics,196.64,29.01
30,US.UNH,联合健康,406.57,28.17
31,US.NFLX,奈飞,82.64,27.25
32,US.MSTR,Strategy,127.2,26.52
33,US.CIEN,Ciena,466.67,26.24
34,US.BRK.B,伯克希尔-B,487.0,25.29
35,US.KLAC,科磊,2108.06,24.48
36,US.GS,高盛,1045.0,24.41
37,US.IREN,IREN Ltd,59.19,23.84
38,US.CRWV,CoreWeave,102.37,23.83
39,US.WMT,沃尔玛,119.83,23.35
40,US.CAT,卡特彼勒,915.64,23.27
41,US.TXN,德州仪器,290.9,22.71
42,US.GLW,康宁,187.54,22.65
43,US.NOW,ServiceNow,114.19,22.53
44,US.COHR,Coherent,401.93,22.3
45,US.CRWD,CrowdStrike,658.79,22.13
46,US.APP,Applovin,563.69,22.13
47,US.AZO,汽车地带,3074.04,22.07
48,US.BE,Bloom Energy,253.57,21.97
49,US.STX,希捷科技,876.77,21.77
50,US.JPM,摩根大通,311.11,21.3
51,US.XOM,埃克森美孚,151.75,21.05
52,US.INHD,INNO Holdings,39.49,21.05
