排名,代码,名称,最新价,成交额(亿元)
1,SZ.000725,京东方A,6.43,356.85
2,SH.603986,兆易创新,488.0,275.65
3,SH.600487,亨通光电,96.12,247.42
4,SH.601138,工业富联,74.06,197.88
5,SZ.002384,东山精密,221.41,194.66
6,SH.600522,中天科技,46.07,192.01
7,SZ.000063,中兴通讯,39.13,183.26
8,SZ.002475,立讯精密,68.77,180.17
9,SZ.002281,光迅科技,227.58,169.78
10,SH.600584,长电科技,75.65,159.61
11,SZ.000988,华工科技,157.2,148.75
12,SZ.002463,沪电股份,133.22,130.32
13,SH.600105,永鼎股份,55.42,120.66
14,SH.600498,烽火通信,56.48,118.33
15,SZ.001309,德明利,630.5,106.54
16,SZ.000636,风华高科,59.65,101.95
17,SZ.002156,通富微电,66.84,101.63
18,SH.600183,XD生益科,137.36,101.29
19,SZ.002050,三花智控,47.51,95.04
20,SH.601869,长飞光纤,441.67,94.13
21,SZ.000100,TCL科技,4.89,93.95
22,SH.601899,紫金矿业,29.63,81.56
23,SZ.002491,通鼎互联,24.82,79.66
24,SH.600703,三安光电,16.91,78.93
25,SZ.002484,江海股份,90.0,76.24
26,SZ.002185,华天科技,18.08,75.54
27,SZ.002008,大族激光,127.87,74.58
28,SH.600549,厦门钨业,61.73,74.52
29,SZ.002428,云南锗业,85.5,72.72
30,SZ.002436,兴森科技,37.9,71.85
