排名,代码,名称,最新价,成交额(亿元)
1,US.MRVL,迈威尔科技,310.58,787.59
2,US.MU,美光科技,1133.99,728.5
3,US.NVDA,英伟达,210.69,506.09
4,US.SPCX,SpaceX,185.0,494.1
5,US.INTC,英特尔,133.99,310.66
6,US.SNDK,闪迪,2184.75,262.64
7,US.AAPL,苹果,298.01,256.22
8,US.AMD,美国超微公司,537.37,233.92
9,US.TSLA,特斯拉,400.49,230.3
10,US.MSFT,微软,379.4,225.88
11,US.AVGO,博通,411.35,184.87
12,US.AMZN,亚马逊,244.39,183.45
13,US.META,Meta Platforms,577.22,165.73
14,US.GOOGL,谷歌-A,368.03,163.04
15,US.ARM,Arm Holdings,439.46,150.24
16,US.WDC,西部数据,746.23,126.8
17,US.FLEX,伟创力,147.61,119.46
18,US.TSM,台积电,462.12,118.2
19,US.GOOG,谷歌-C,367.46,107.24
20,US.QCOM,高通,226.11,106.04
21,US.NBIS,NEBIUS,286.69,104.97
22,US.AMAT,应用材料,617.11,104.11
23,US.ALAB,Astera Labs,417.07,93.93
24,US.STX,希捷科技,1070.23,91.3
25,US.LRCX,泛林集团,389.04,88.81
26,US.CRM,赛富时,151.78,88.01
27,US.TER,泰瑞达,437.92,78.44
28,US.CRWV,CoreWeave,117.95,77.14
29,US.RKLB,Rocket Lab,107.24,74.87
30,US.LITE,Lumentum,850.0,71.33
31,US.NFLX,奈飞,77.38,71.07
32,US.PLTR,Palantir,128.47,70.88
33,US.TXN,德州仪器,322.86,70.45
34,US.KLAC,科磊,259.56,67.67
35,US.XOM,埃克森美孚,137.81,66.06
36,US.JPM,摩根大通,325.22,65.97
37,US.DELL,戴尔科技,409.5,64.07
38,US.CSCO,思科,119.54,62.33
39,US.CAT,卡特彼勒,985.82,60.9
40,US.ORCL,甲骨文,184.29,57.72
41,US.ACN,埃森哲,127.98,53.98
42,US.ADI,亚德诺,434.46,51.47
43,US.BE,Bloom Energy,328.91,50.65
44,US.GS,高盛,1096.56,49.68
45,US.LLY,礼来,1098.57,49.3
46,US.V,Visa,327.24,48.33
47,US.GEV,GE Vernova,1109.73,47.98
48,US.UNH,联合健康,400.96,47.81
49,US.ASML,阿斯麦,1929.68,46.34
50,US.APP,Applovin,469.71,44.92
51,US.GLW,康宁,194.92,43.56
52,US.BRK.B,伯克希尔-B,489.46,43.5
53,US.JNJ,强生,228.39,43.5
54,US.WMT,沃尔玛,117.18,42.87
55,US.C,花旗集团,143.06,42.33
56,US.HOOD,Robinhood,108.15,42.15
57,US.IBM,IBM Corp,249.1,41.36
58,US.MSTR,Strategy,112.53,39.81
59,US.BAC,美国银行,56.2,39.73
60,US.KO,可口可乐,79.39,37.19
61,US.ABT,雅培,88.41,37.12
62,US.CRWD,CrowdStrike,684.86,36.68
63,US.COST,好市多,951.45,35.68
64,US.HD,家得宝,334.28,35.41
65,US.PANW,Palo Alto Networks,287.78,34.92
66,US.NOW,ServiceNow,95.04,34.52
67,US.ROKU,Roku Inc,138.07,34.42
68,US.MRK,默沙东,113.87,33.59
69,US.CVX,雪佛龙,173.63,33.27
70,US.MA,万事达,489.79,32.78
71,US.AZO,汽车地带,3064.48,31.94
72,US.CDE,科尔黛伦矿业,17.51,31.83
73,US.BKNG,Booking Holdings,171.78,31.61
74,US.VRSK,Verisk分析,173.8,31.42
75,US.ADBE,Adobe,195.16,30.86
76,US.WFC,富国银行,82.2,30.43
77,US.MPWR,Monolithic Power Systems,1563.7,30.16
78,US.VZ,Verizon,45.37,30.16
79,US.PFE,辉瑞,25.21,30.16
80,US.COHR,Coherent,389.57,29.4
81,US.SUNB,Sunbelt Rentals Holdings,86.06,28.96
82,US.SMTC,先科电子,158.23,28.36
83,US.GE,GE航天航空,357.64,27.86
84,US.CDNS,铿腾电子,387.39,27.66
85,US.AMGN,安进,337.6,27.58
86,US.AAOI,Applied Optoelectronics,161.85,27.47
87,US.PEP,百事可乐,142.02,27.15
88,US.CTSH,高知特,43.7,27.04
89,US.MS,摩根士丹利,223.17,26.88
90,US.INTU,财捷,267.0,26.75
91,US.LIN,林德气体,512.15,26.68
92,US.FTNT,飞塔信息,144.73,26.68
93,US.PG,宝洁,150.38,25.74
94,US.HPE,慧与科技,47.41,25.34
95,US.SCHW,嘉信理财,91.7,25.25
96,US.ASTS,AST SpaceMobile,80.66,25.25
97,US.SANM,新美亚电子,241.49,25.24
98,US.NXPI,恩智浦,313.27,25.0
99,US.CRDO,Credo Technology,271.83,24.88
100,US.COP,康菲石油,107.74,24.7
101,US.VRT,Vertiv Holdings,333.05,24.19
102,US.ON,安森美半导体,121.62,24.01
103,US.DIS,迪士尼,103.89,23.74
104,US.IREN,IREN Ltd,59.96,23.57
105,US.SATS,回声星通信,109.17,23.52
106,US.VIAV,Viavi Solutions,47.17,23.29
107,US.TMUS,T-Mobile US,181.67,22.79
108,US.CHTR,特许通讯,126.23,22.74
109,US.MCD,麦当劳,278.61,22.69
110,US.INSM,Insmed,95.8,22.39
111,US.CVS,西维斯健康,98.32,21.23
112,US.APH,安费诺,163.96,21.07
113,US.ABBV,艾伯维公司,216.49,20.98
114,US.PM,菲利普莫里斯,178.4,20.95
115,US.T,AT&T,22.01,20.88
116,US.ZS,Zscaler,124.85,20.63
117,US.SMCI,超微电脑,30.66,20.62
118,US.PGR,前进保险,204.87,20.44
119,US.LMT,洛克希德马丁,510.95,20.38
120,US.SLB,斯伦贝谢,48.09,20.24
121,US.AAL,美国航空,15.99,20.15
122,US.NEM,纽曼矿业,103.79,19.95
123,US.BA,波音,222.72,19.7
124,US.UBER,优步,71.64,19.53
125,US.CEG,Constellation Energy,274.06,19.19
126,US.SO,美国南方公司,93.09,18.95
127,US.ANET,Arista Networks,169.67,18.88
128,US.DDOG,Datadog,223.0,18.83
129,US.MCK,麦克森,750.63,18.66
130,US.PWR,广达服务,702.25,18.5
131,US.CIEN,Ciena,428.22,18.47
132,US.MDT,美敦力,79.34,17.95
133,US.ISRG,直觉外科公司,406.78,17.89
134,US.ADSK,欧特克,193.82,17.83
